timestamp,station_id,location_type,vehicle_id,vehicle_type,arrival_time,charging_start_time,charging_end_time,waiting_time,battery_capacity_kwh,initial_soc,final_soc,energy_consumed_kwh,charging_power_kw,charging_duration,queue_length,station_load,electricity_price,renewable_energy_ratio,traffic_density,weather_condition,day_of_week,time_slot,charging_demand,assigned_charger_id,charging_priority,optimization_reward
2025-01-01 00:00:00,ST004,Urban,EV10000,Two-Wheeler,2025-01-01 00:00:00,2025-01-01 00:12:00,2025-01-01 04:33:00,12,60,48.98455001,99.86557637,30.52861582,7,261.0,4,15.16167224,13.66,0.280334504,Low,Cloudy,Wednesday,Off-Peak,17.24239802,CH4,Low,-8.622299343
2025-01-01 00:15:00,ST005,Urban,EV10001,Two-Wheeler,2025-01-01 00:15:00,2025-01-01 00:23:00,2025-01-01 01:12:00,8,100,58.49549261,100.0,41.50450739,50,49.0,3,20.99721943,5.47,0.392126656,Low,Rainy,Wednesday,Off-Peak,18.32493284,CH9,Low,-1.935644217
2025-01-01 00:30:00,ST019,Highway,EV10002,Car,2025-01-01 00:30:00,2025-01-01 00:41:00,2025-01-01 01:35:00,11,75,35.71172192,95.73346388,45.01630647,50,54.0,8,31.60615077,9.5,0.103979488,Low,Clear,Wednesday,Off-Peak,36.02816833,CH2,Low,-18.2018455
2025-01-01 00:45:00,ST008,Urban,EV10003,Two-Wheeler,2025-01-01 00:45:00,2025-01-01 00:54:00,2025-01-01 03:29:00,9,40,29.27082513,100.0,28.29166995,11,155.0,3,21.80304987,6.22,0.248553073,Low,Clear,Wednesday,Off-Peak,17.14693509,CH9,Medium,-7.404017784
2025-01-01 01:00:00,ST008,Highway,EV10004,Two-Wheeler,2025-01-01 01:00:00,2025-01-01 01:08:00,2025-01-01 06:14:00,8,75,25.5855538,100.0,55.81083465,11,306.0,5,15.62626585,13.42,0.23492624,Low,Cloudy,Wednesday,Off-Peak,14.57776821,CH1,Low,-6.577465969
2025-01-01 01:15:00,ST014,Highway,EV10005,Bus,2025-01-01 01:15:00,2025-01-01 01:18:00,2025-01-01 02:15:00,3,75,39.89499894,100.0,45.07875079,50,57.0,0,20.4166852,14.61,0.353360155,Low,Clear,Wednesday,Off-Peak,22.8898863,CH4,Medium,3.517467598
2025-01-01 01:30:00,ST004,Urban,EV10006,Bus,2025-01-01 01:30:00,2025-01-01 01:51:00,2025-01-01 02:23:00,21,30,24.04672548,100.0,22.78598235,50,32.0,2,15.30533878,5.16,0.227020444,Low,Clear,Wednesday,Off-Peak,14.25415396,CH6,Medium,-18.25045443
2025-01-01 01:45:00,ST020,Highway,EV10007,Car,2025-01-01 01:45:00,2025-01-01 01:49:00,2025-01-01 02:51:00,4,60,19.9421202,100.0,48.03472788,50,62.0,7,18.48089303,8.58,0.134760718,Low,Rainy,Wednesday,Off-Peak,22.11192729,CH8,High,-7.153357071
2025-01-01 02:00:00,ST004,Highway,EV10008,Car,2025-01-01 02:00:00,2025-01-01 02:02:00,2025-01-01 03:11:00,2,100,46.48030892,100.0,53.51969108,50,69.0,6,23.6585375,14.72,0.354674147,Low,Rainy,Wednesday,Off-Peak,25.87583271,CH5,High,0.908516919
2025-01-01 02:15:00,ST020,Highway,EV10009,Two-Wheeler,2025-01-01 02:15:00,2025-01-01 02:16:00,2025-01-01 03:59:00,1,60,36.13664147,99.54003543,38.04203638,22,103.0,2,16.03438405,13.96,0.242611067,Low,Clear,Wednesday,Off-Peak,16.66713977,CH2,Low,2.071455199
2025-01-01 02:30:00,ST008,Highway,EV10010,Car,2025-01-01 02:30:00,2025-01-01 02:36:00,2025-01-01 11:38:00,6,100,36.99205457,100.0,63.00794543,7,542.0,2,30.59395305,13.08,0.290021127,Low,Clear,Wednesday,Off-Peak,34.30855895,CH2,Medium,-4.418156801
2025-01-01 02:45:00,ST009,Highway,EV10011,Two-Wheeler,2025-01-01 02:45:00,2025-01-01 02:52:00,2025-01-01 04:03:00,7,75,20.92202186,100.0,59.3084836,50,71.0,7,33.1488031,13.96,0.195401042,Low,Cloudy,Wednesday,Off-Peak,29.24932235,CH3,Medium,-11.26772935
2025-01-01 03:00:00,ST012,Urban,EV10012,Two-Wheeler,2025-01-01 03:00:00,2025-01-01 03:08:00,2025-01-01 05:28:00,8,75,27.62844282,96.42251902,51.59555715,22,140.0,5,23.34822006,7.22,0.13595961,Low,Cloudy,Wednesday,Off-Peak,21.72437178,CH2,High,-11.09085571
2025-01-01 03:15:00,ST006,Urban,EV10013,Car,2025-01-01 03:15:00,2025-01-01 03:23:00,2025-01-01 04:05:00,8,60,26.1601466,85.47500229,35.58891342,50,42.0,8,19.29784494,7.54,0.174062819,Low,Cloudy,Wednesday,Off-Peak,21.26088767,CH7,Medium,-10.63768442
2025-01-01 03:30:00,ST018,Urban,EV10014,Two-Wheeler,2025-01-01 03:30:00,2025-01-01 03:36:00,2025-01-01 05:43:00,6,30,23.33905071,100.0,22.99828479,11,127.0,3,18.57292928,14.08,0.171868567,Low,Cloudy,Wednesday,Off-Peak,15.02187801,CH1,Low,-6.058528841
